instance_pre,instance_post,conn_num,tot_syn_cnt,mean_syn_cnt,syn_cnt_sd
EPG(PB08)_R4,PEN_a(PB06a)_R9,0,0,0.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_L9,0,0,0.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_L3,0,0,0.0,0.0
EPG(PB08)_R4,PEN_a(PB06a)_L5,1,1,1.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_L4,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_R4,6,104,17.333333333333332,4.844240566555986
EPG(PB08)_R4,PEN_b(PB06b)_L6,2,3,1.5,0.7071067811865476
EPG(PB08)_R4,PEN_b(PB06b)_R7,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_R2,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_R5,3,84,28.0,6.082762530298219
EPG(PB08)_R4,PEN_b(PB06b)_R6,4,11,2.75,1.2583057392117916
EPG(PB08)_R4,PEN_b(PB06b)_R3,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_R8,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_R9,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_L9,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_L7,3,93,31.0,1.0
EPG(PB08)_R4,PEN_b(PB06b)_L8,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_L5,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_L2,0,0,0.0,0.0
EPG(PB08)_R4,PEN_b(PB06b)_L3,0,0,0.0,0.0
EPG(PB08)_R3,EPG(PB08)_L3,0,0,0.0,0.0
EPG(PB08)_R3,EPG(PB08)_R4,8,35,4.375,3.2486260832190936
EPG(PB08)_R3,EPG(PB08)_L6,9,127,14.11111111111111,11.274356350191843
EPG(PB08)_R3,EPG(PB08)_L1,0,0,0.0,0.0
EPG(PB08)_R3,EPG(PB08)_R2,6,24,4.0,2.756809750418044
EPG(PB08)_R3,EPG(PB08)_L4,0,0,0.0,0.0
EPG(PB08)_R3,EPG(PB08)_R5,0,0,0.0,0.0
EPG(PB08)_R3,EPG(PB08)_L5,1,3,3.0,0.0
EPG(PB08)_R3,EPG(PB08)_L2,0,0,0.0,0.0
EPG(PB08)_R3,EPG(PB08)_R6,0,0,0.0,0.0
EPG(PB08)_R3,EPG(PB08)_R7,0,0,0.0,0.0
EPG(PB08)_R3,EPG(PB08)_L7,9,111,12.333333333333334,7.794228634059948
EPG(PB08)_R3,EPG(PB08)_L8,5,9,1.8,1.0954451150103321
EPG(PB08)_R3,EPG(PB08)_R8,0,0,0.0,0.0
EPG(PB08)_R3,EPG(PB08)_R1,0,0,0.0,0.0
EPG(PB08)_R3,Delta7(PB15)_L6R3_L,14,34,2.4285714285714284,1.785164750607962
