instance_pre,instance_post,mean_syn_cnt,cs_weight
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_R8,1.0,1.0
Delta7(PB15)_L5R4_L,PEN_a(PB06a)_R9,0.0,1.0
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_L2,1.3333333333333333,0.625
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_L3,1.2,0.625
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_L4,1.0,0.375
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_L5,3.0,2.75
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_L6,9.2,17.375
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_L7,2.75,4.25
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_L8,1.0,0.5
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_L9,0.0,0.375
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_R2,5.2,2.25
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_R3,22.8,21.625
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_R4,4.5,3.625
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_R5,0.0,0.25
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_R6,1.0,0.75
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_R7,0.0,1.0
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_R8,1.0,1.0
Delta7(PB15)_L6R3_L,PEN_a(PB06a)_R9,0.0,0.625
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_L2,1.0,0.375
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_L3,0.0,0.625
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_L4,1.0,0.625
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_L5,0.0,0.375
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_L6,1.0,2.75
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_L7,8.666666666666666,17.375
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_L8,0.0,4.25
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_L9,0.0,0.5
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_R2,22.0,21.625
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_R3,2.0,3.625
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_R4,0.0,0.25
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_R5,1.0,0.75
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_R6,1.5,1.0
Delta7(PB15)_L7R2_L,PEN_a(PB06a)_R7,1.0,1.0
