instance_pre,Delta7(PB15)_L1L9R8_R,Delta7(PB15)_L2R7_R,Delta7(PB15)_L3R6_R,Delta7(PB15)_L4R5_R,Delta7(PB15)_L5R4_L,Delta7(PB15)_L6R3_L,Delta7(PB15)_L7R2_L,Delta7(PB15)_L8R1R9_L,EPG(PB08)_L1,EPG(PB08)_L2,EPG(PB08)_L3,EPG(PB08)_L4,EPG(PB08)_L5,EPG(PB08)_L6,EPG(PB08)_L7,EPG(PB08)_L8,EPG(PB08)_R1,EPG(PB08)_R2,EPG(PB08)_R3,EPG(PB08)_R4,EPG(PB08)_R5,EPG(PB08)_R6,EPG(PB08)_R7,EPG(PB08)_R8,PEG(PB07)_L1,PEG(PB07)_L2,PEG(PB07)_L3,PEG(PB07)_L4,PEG(PB07)_L5,PEG(PB07)_L6,PEG(PB07)_L7,PEG(PB07)_L8,PEG(PB07)_L9,PEG(PB07)_R1,PEG(PB07)_R2,PEG(PB07)_R3,PEG(PB07)_R4,PEG(PB07)_R5,PEG(PB07)_R6,PEG(PB07)_R7,PEG(PB07)_R8,PEG(PB07)_R9,PEN_a(PB06a)_L2,PEN_a(PB06a)_L3,PEN_a(PB06a)_L4,PEN_a(PB06a)_L5,PEN_a(PB06a)_L6,PEN_a(PB06a)_L7,PEN_a(PB06a)_L8,PEN_a(PB06a)_L9,PEN_a(PB06a)_R2,PEN_a(PB06a)_R3,PEN_a(PB06a)_R4,PEN_a(PB06a)_R5,PEN_a(PB06a)_R6,PEN_a(PB06a)_R7,PEN_a(PB06a)_R8,PEN_a(PB06a)_R9,PEN_b(PB06b)_L2,PEN_b(PB06b)_L3,PEN_b(PB06b)_L4,PEN_b(PB06b)_L5,PEN_b(PB06b)_L6,PEN_b(PB06b)_L7,PEN_b(PB06b)_L8,PEN_b(PB06b)_L9,PEN_b(PB06b)_R2,PEN_b(PB06b)_R3,PEN_b(PB06b)_R4,PEN_b(PB06b)_R5,PEN_b(PB06b)_R6,PEN_b(PB06b)_R7,PEN_b(PB06b)_R8,PEN_b(PB06b)_R9
EPG(PB08)_L3,97,18,25,38,142,301,184,266,7,17,0,22,5,0,14,1,0,0,0,0,4,161,177,2,18,12,337,20,16,4,17,2,17,0,0,0,0,0,10,28,0,0,5,88,103,34,1,0,0,0,0,0,0,0,4,32,88,3,10,120,148,15,0,0,0,0,0,0,0,0,0,11,97,0
EPG(PB08)_L4,301,120,13,21,31,235,233,315,0,7,21,0,10,6,2,5,0,0,0,1,99,150,0,0,0,18,2,389,11,12,0,7,0,0,0,0,0,2,16,0,0,0,0,3,154,65,33,0,0,0,0,0,0,0,34,71,0,0,0,0,161,74,16,0,0,0,0,0,0,0,9,64,1,0
EPG(PB08)_L5,322,163,61,18,29,50,95,271,6,0,9,18,0,20,6,1,0,0,6,110,102,0,0,0,17,1,14,11,324,11,34,1,17,0,0,0,2,17,0,0,0,0,0,0,6,82,80,15,0,0,0,0,0,35,87,5,0,0,0,0,9,111,101,7,0,0,0,0,0,4,134,0,0,0
EPG(PB08)_L6,196,104,97,36,36,27,19,119,0,3,1,11,13,0,23,10,0,2,131,166,1,0,0,0,0,14,0,10,5,213,3,18,0,0,0,1,15,0,0,0,0,0,0,0,0,0,75,53,23,4,0,0,33,57,5,0,0,0,0,0,0,0,87,103,9,0,0,0,30,116,0,0,0,0
EPG(PB08)_L7,147,82,97,163,101,20,22,33,3,1,13,1,9,15,0,42,4,104,95,7,0,0,0,0,18,2,20,1,12,13,215,7,19,0,16,19,0,0,0,0,0,0,1,0,0,0,0,55,57,35,0,45,106,8,0,0,0,0,0,0,0,0,2,61,65,22,0,28,135,0,0,0,0,0
EPG(PB08)_L8,26,96,136,210,233,60,16,48,12,4,2,6,1,7,47,0,148,140,7,1,0,0,0,6,1,17,1,23,2,30,3,253,10,2,47,0,0,0,0,0,0,0,35,1,0,0,0,1,74,104,23,122,11,0,0,0,0,1,14,0,0,0,0,0,78,176,30,107,0,0,0,0,0,0
EPG(PB08)_R1,7,84,198,268,278,68,5,44,109,0,1,0,0,0,3,142,0,12,2,0,0,0,0,16,61,0,0,0,0,0,0,1,14,231,28,0,0,0,0,0,0,8,53,4,0,0,0,0,0,33,67,28,2,0,0,0,0,8,83,0,0,0,0,0,0,10,82,7,0,0,0,0,0,0
EPG(PB08)_R2,45,137,159,173,112,15,16,11,0,0,0,0,0,0,96,117,22,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,207,0,0,0,0,0,0,0,9,0,0,0,0,0,26,38,54,73,33,0,0,0,0,0,0,0,0,0,0,0,8,82,44,73,10,0,0,0,0,0
EPG(PB08)_R3,369,410,368,238,40,34,11,119,0,0,0,0,3,127,111,9,0,24,0,35,0,0,0,0,0,0,0,0,0,8,15,0,0,0,18,392,31,0,0,0,0,0,0,0,0,0,1,43,86,15,3,101,141,39,2,0,0,0,0,0,0,0,0,22,79,2,6,120,168,9,0,0,0,0
EPG(PB08)_R4,326,318,146,36,22,15,41,213,0,0,0,8,79,147,4,1,0,1,31,0,15,0,0,0,0,0,0,0,5,19,0,0,0,0,0,2,283,1,0,0,0,0,0,0,0,1,35,89,10,0,0,1,89,79,46,0,0,0,0,0,0,0,3,93,0,0,0,0,104,84,11,0,0,0
